Alias,Documented Name
IRAN OVERSEAS INVESTMENT BANK LIMITED,
ABU SAYYAF GROUP,
AL HARAKAT AL ISLAMIYYA,
ARMED ISLAMIC GROUP,
GIA,
GROUPEMENT ISLAMIQUE ARME,
AL-JAMA'AH AL-ISLAMIYAH AL-MUSALLAH,
AUM SHINRIKYO,
AUM SUPREME TRUTH,
A.I.C. SOGO KENKYUSHO,
A.I.C. COMPREHENSIVE RESEARCH INSTITUTE,
ALEPH,
EUZKADI TA ASKATASUNA,
BASQUE FATHERLAND AND LIBERTY,
ETA,
BATASUNA,
EUSKAL HERRITARROK,
HERRI BATASUNA,
ASKATASUNA,
EKIN,
K.A.S.,
XAKI,
JARRAI-HAIKA-SEGI,
EPANASTATIKI PIRINES,
POPULAR REVOLUTIONARY STRUGGLE,
GAMA'A AL-ISLAMIYYA,
ISLAMIC GROUP,
IG,
AL-GAMA'AT,
ISLAMIC GAMA'AT,
EGYPTIAN AL-GAMA'AT AL-ISLAMIYYA,
GI,
HAMAS,
ISLAMIC RESISTANCE MOVEMENT,
HARAKAT AL-MUQAWAMA AL-ISLAMIYA,
STUDENTS OF AYYASH,
STUDENTS OF THE ENGINEER,
YAHYA AYYASH UNITS,
IZZ AL-DIN AL-QASSIM BRIGADES,
IZZ AL-DIN AL-QASSIM FORCES,
IZZ AL-DIN AL-QASSIM BATTALIONS,
IZZ AL-DIN AL QASSAM BRIGADES,
IZZ AL-DIN AL QASSAM FORCES,
IZZ AL-DIN AL QASSAM BATTALIONS,
HARAKAT UL-MUJAHIDEEN,
HUA,
HARAKAT UL-ANSAR,
HUM,
HARAKAT UL-MUJAHIDIN,
AL-FARAN,
AL-HADID,
AL-HADITH,
JAMIAT UL-ANSAR,
Ansar-ul-Ummah,
HIZBALLAH,
PARTY OF GOD,
ISLAMIC JIHAD,
ISLAMIC JIHAD ORGANIZATION,
REVOLUTIONARY JUSTICE ORGANIZATION,
ORGANIZATION OF THE OPPRESSED ON EARTH,
ISLAMIC JIHAD FOR THE LIBERATION OF PALESTINE,
ORGANIZATION OF RIGHT AGAINST WRONG,
ANSAR ALLAH,
FOLLOWERS OF THE PROPHET MUHAMMED,
Lebanese Hizballah,
Lebanese Hezbollah,
LH,
Foreign Relations Department,
FRD,
External Security Organization,
ESO,
Foreign Action Unit,
Hizballah ESO,
Hizballah International,
Special Operations Branch,
External Services Organization,
External Security Organization of Hezbollah,
KAHANE CHAI,
REPRESSION OF TRAITORS,
DIKUY BOGDIM,
DOV,
STATE OF JUDEA,
COMMITTEE FOR THE SAFETY OF THE ROADS,
SWORD OF DAVID,
JUDEA POLICE,
KAHANE LIVES,
KFAR TAPUAH FUND,
THE JUDEAN VOICE,
FOREFRONT OF THE IDEA,
THE QOMEMIYUT MOVEMENT,
THE JUDEAN LEGION,
THE WAY OF THE TORAH,
THE YESHIVA OF THE JEWISH IDEA,
KOACH,
KACH,
NEW KACH MOVEMENT,
NEWKACH.ORG,
KAHANE,
YESHIVAT HARAV MEIR,
THE INTERNATIONAL KAHANE MOVEMENT,
KAHANE.ORG,
JEWISH IDEA YESHIVA,
KAHANETZADAK.COM,
KAHANE TZADAK,
THE HATIKVA JEWISH IDENTITY CENTER,
THE RABBI MEIR DAVID KAHANE MEMORIAL FUND,
THE JEWISH IDEA YESHIVA,
FRIENDS OF THE JEWISH IDEA YESHIVA,
JUDEAN CONGRESS,
JEWISH LEGION,
THE VOICE OF JUDEA,
NO'AR MEIR,
MEIR'S YOUTH,
AMERICAN FRIENDS OF YESHIVAT RAV MEIR,
AMERICAN FRIENDS OF THE UNITED YESHIVA,
THE COMMITTEE AGAINST RACISM AND DISCRIMINATION,
CARD,
KURDISTAN WORKERS' PARTY,
PKK,
PARTIYA KARKERAN KURDISTAN,
THE PEOPLE'S DEFENSE FORCE,
HALU MESRU SAVUNMA KUVVETI,
FREEDOM AND DEMOCRACY CONGRESS OF KURDISTAN,
KADEK,
KURDISTAN FREEDOM AND DEMOCRACY CONGRESS,
KURDISTAN PEOPLE'S CONGRESS,
PEOPLE'S CONGRESS OF KURDISTAN,
KONGRA-GEL,
KGK,
HSK,
KHK,
LIBERATION TIGERS OF TAMIL EELAM,
LTTE,
TAMIL TIGERS,
ELLALAN FORCE,
NATIONAL LIBERATION ARMY,
ELN,
EJERCITO DE LIBERACION NACIONAL,
PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION,
PIJ-SHAQAQI FACTION,
PIJ,
ISLAMIC JIHAD IN PALESTINE,
ISLAMIC JIHAD OF PALESTINE,
ABU GHUNAYM SQUAD OF THE HIZBALLAH BAYT AL-MAQDIS,
PIJ-SHALLAH FACTION,
PALESTINIAN ISLAMIC JIHAD,
AL-QUDS SQUADS,
SAYARA AL-QUDS,
AL-QUDS BRIGADES,
AL-AWDAH BRIGADES,
PALESTINE LIBERATION FRONT - ABU ABBAS FACTION,
PALESTINE LIBERATION FRONT,
PLF,
PLF-ABU ABBAS,
POPULAR FRONT FOR THE LIBERATION OF PALESTINE,
PFLP,
RED EAGLES,
RED EAGLE GROUP,
RED EAGLE GANG,
HALHUL GANG,
HALHUL SQUAD,
PALESTINIAN POPULAR RESISTANCE FORCES,
PPRF,
MARTYR ABU-ALI MUSTAFA BATTALION,
POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND,
PFLP-GC,
REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT,
DEVRIMCI HALK KURTULUS PARTISI-CEPHESI,
DHKP/C,
DEVRIMCI SOL,
REVOLUTIONARY LEFT,
DEV SOL,
DEV SOL SILAHLI DEVRIMCI BIRLIKLERI,
DEV SOL SDB,
DEV SOL ARMED REVOLUTIONARY UNITS,
REVOLUTIONARY PEOPLE'S STRUGGLE,
EPANASTATIKOS LAIKOS AGONAS,
ELA,
REVOLUTIONARY POPULAR STRUGGLE,
POPULAR REVOLUTIONARY STRUGGLE,
JUNE 78,
ORGANIZATION OF REVOLUTIONARY INTERNATIONALIST SOLIDARITY,
REVOLUTIONARY NUCLEI,
REVOLUTIONARY CELLS,
LIBERATION STRUGGLE,
SHINING PATH,
SENDERO LUMINOSO,
SL,
PARTIDO COMUNISTA DEL PERU EN EL SENDERO LUMINOSO DE JOSE CARLOS MARIATEGUI (COMMUNIST PARTY OF PERU ON THE SHINING PATH OF JOSE CARLOS MARIATEGUI),
PARTIDO COMUNISTA DEL PERU (COMMUNIST PARTY OF PERU),
PCP,
SOCORRO POPULAR DEL PERU,
SPP,
EJERCITO GUERRILLERO POPULAR,
EGP,
EJERCITO POPULAR DE LIBERACION,
EPL,
COMMUNIST PARTY OF PERU ON THE SHINING PATH OF JOSE CARLOS MARIATEGUI,
COMMUNIST PARTY OF PERU,
PEOPLE'S AID OF PERU,
PEOPLE'S GUERRILLA ARMY,
PEOPLE'S LIBERATION ARMY,
DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION,
DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE,
DFLP,
RED STAR FORCES,
RED STAR BATTALIONS,
BIN LADIN,Usama bin Muhammad bin Awad
BIN LADIN,Usama
BIN LADEN,Usama
BIN LADEN,Osama
BIN LADIN,Osama
BIN LADIN,Osama bin Muhammad bin Awad
AL QA'IDA,
ISLAMIC SALVATION FOUNDATION,
THE GROUP FOR THE PRESERVATION OF THE HOLY SITES,
THE ISLAMIC ARMY FOR THE LIBERATION OF THE HOLY PLACES,
THE WORLD ISLAMIC FRONT FOR JIHAD AGAINST JEWS AND CRUSADERS,
AL QAEDA,
The Base,
USAMA BIN LADEN NETWORK,
USAMA BIN LADEN ORGANIZATION,
AL QAIDA,
INTERNATIONAL FRONT FOR FIGHTING JEWS AND CRUSADES,
ISLAMIC ARMY FOR THE LIBERATION OF HOLY SITES,
AL-JIHAD,
EGYPTIAN AL-JIHAD,
EGYPTIAN ISLAMIC JIHAD,
NEW JIHAD,
THE JIHAD GROUP,
ISLAMIC ARMY,
AL-MASRI,Abu Hafs
ABDULLAH,Sheikh Taysir
ATEF,Muhammad
EL KHABIR,Abu Hafs el Masry
TAYSIR,
ABU HAFS,
ATIF,Muhammad
ABU SITTA,Subhi
ATIF,Mohamed
MUSA,Rifa'i Ahmad Taha
'ABD-AL-'IZ,
ABD-AL-WAHAB,Abd-al-Hai Ahmad
ABU YASIR,
'ABD ALLAH,'Issam 'Ali Muhammad
AL-KAMEL,Salah 'Ali
TAHA MUSA,Rifa'i Ahmad
THABIT 'IZ,
COLOMBIANA DE CERDOS LTDA.,
COLCERDOS LTDA.,
DISTRIBUIDORA DE ELEMENTOS PARA LA CONSTRUCCION S.A.,
D'ELCON S.A.,
MATADERO METROPOLITANO LTDA.,
OMAR,Mohammed
TALIBAN,
ISLAMIC MOVEMENT OF TALIBAN,
TAHRIKE ISLAMI'A TALIBAN,
TALEBAN,
TALIBAN ISLAMIC MOVEMENT,
TALIBANO ISLAMI TAHRIK,
COMERCIALIZADORA DE CARNES LTDA.,
COMECARNES LTDA.,
SERVIAUTOS UNO A 1A LIMITADA,
DIAGNOSTICENTRO LA GARANTIA,
AMEZCUA CONTRERAS,Jose de Jesus
AMESCUA,Chuey
AMEZCUA,Chuy
AMEZCUA CONTRERAS,Jesus
AMEZCUA,Jose de Jesus
HERNANDEZ,Adan
AMEZCUA CONTRERAS,Luis Ignacio
AMEZCUA,Luis
CONTRERAS,Luis C.
LOPEZ,Luis
LOZANO,Eduardo
OCHOA,Salvador
RODRIGUEZ LOPEZ,Sergio
ARELLANO FELIX,Ramon Eduardo
COMACHO RODRIGUES,Gilberto
TORRES MENDEZ,Ramon
CARO QUINTERO,Rafael
CARO QUINTERO,Raphael
CARRILLO FUENTES,Vicente
CARRILLO FUENTES,Andres
CHANG,Chi Fu
Khun Sa,
CHAN,Changtrakul
CHANG,Shi-Fu
CHANG,Xifu
CHANGTRAKUL,Chan
HEATH,Noel Timothy
ZAMBA,Noel Heath
ZAMBO,Noel Heath
OGUNGBUYI,Oluwole A.
ADEMULERO,Babestan Oluwole
BABESTAN,Wole A.
OGUNGBUYI,Wally
OGUNGBUYI,Wole A.
SHOFESO,Olatude I.
SHOFESO,Olatunde Irewole
OGUNGBUYI,Abeni O.
BABESTAN,Abeni O.
SHOFESO,Olatutu Temitope
WEI,Hsueh Kang
CHARNCHAI,Chiwinnitipanya
CHIVINNITIPANYA,Prasit
CHIWINNITIPANYA,Charnchai
PRASIT,Chivinnitipanya
PRASIT,Cheewinnittipanya
WEI,Shao-Kang
WEI,Sia-Kang
WEI,Xuekang
CHEEWINNITTIPANYA,Prasit
ARELLANO FELIX,Benjamin Alberto
HENAO MONTOYA,Arcangel de Jesus
RAMIREZ ABADIA,Juan Carlos
AGRICOLA GANADERA HENAO GONZALEZ Y CIA. S.C.S.,
COMPANIA AGROINVERSORA HENAGRO LTDA.,
DESARROLLOS COMERCIALES E INDUSTRIALES HENAO GONZALEZ Y CIA. S.C.S.,
MAQUINARIA TECNICA Y TIERRAS LTDA.,
M.T.T. LTDA.,
ORGANIZACION EMPRESARIAL A DE J HENAO M E HIJOS Y CIA. S.C.S.,
GONZALEZ BENITEZ,Olga Patricia
ISLAMIC MOVEMENT OF UZBEKISTAN,
IMU,
CAVIEDES DILEO Y CIA. S.C.S.,
PATINO FOMEQUE,Victor Julio
PATINO FOMEQUE,Victor Hugo
INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A,
INPESCA S.A.,
GALAPAGOS S.A,
DUQUE BOTERO,Jorge Alirio
ECHEVERRY HERRERA,Hernando
ECHEVERRI HERRERA,Hernando
New Irish Republican Army,
REAL IRISH REPUBLICAN ARMY,
RIRA,
32 COUNTY SOVEREIGNTY COMMITTEE,
32 COUNTY SOVEREIGNTY MOVEMENT,
REAL OGLAIGH NA HEIREANN,
IRISH REPUBLICAN PRISONERS WELFARE ASSOCIATION,
Real IRA,
New IRA,
NIRA,
IRA Army Council,
AFGHAN,Sher
AFGHAN,Shir
KHAN,Abdullah
AZIZ,Mohammad
AFGHAN,Shear
CARDENAS GUILLEN,Osiel
CARDENAS GULLEN,Osiel
CARDENAS CASTILLO,Osiel
CARDENAS GILLEN,Osiel
CARDENAS GUILLEN,Ociel
CARDENAS GUILLEN,Oscar
CARDENAS GUILLEN,Oziel
CARDENAS TUILLEN,Osiel
SALINA AGUILAR,Jorge
SALINAS AGUILAR,Jorge
CARO QUINTERO,Miguel Angel
CHANG,Ping Yun
KHUN,Saeng
GILBOA,Joseph
GILBOA,Yosef
GILBOA,Joseph Papzian
GILBERT,Joseph
GIL,Josef
GUZMAN LOERA,Joaquin
AREGON,Max
GUZMAN,Chapo
GUIERREZ LOERA,Jose Luis
GUZMAN FERNANDEZ,Joaquin
GUZMAN LOESA,Joaquin
GUZMAN PADILLA,Joaquin
GUMAN LOERAL,Joaquin
GUZMAN,Archibaldo
GUZMAN,Aureliano
ORTEGA,Miguel
RAMIREZ,Joise Luis
CARO RODRIGUEZ,Gilberto
GUZMAN,Joaquin Chapo
GUZMAN LOREA,Chapo
GUZMAN LOEIA,Joaguin
GUZMAN,Achivaldo
OSUNA,Gilberto
RAMOX PEREZ,Jorge
HAMIEH,Jamiel
HAMIAH,Jamiel
HAMEIAH,Jamel
HAMEIAH,Mamil
HAMEIH,Jamill
HAMIAEH,Jamil
HAMIE,Jamil Abdulkarim
HAMIEAH,Jamiel
HAMEIAH,Jamil
HAMEIEH,Jamil
HAMER,Jamil
HAMIE,Jamil
HAMIE,Jamile
HAMIEAH,Jamil
HAMIEH,Jamal
HAMIEH,Jamil
HAMIEL,Jamil
HAMIEYYEH,Jamil
HAMIYA,Abdul Jamil
HAMIYYAH,Jamil
HAMYH,Jamil
KARIM,Jamil Abdul
NEZAM,Abu
HAMIEH,Mamil
HAMIEYE,Jamil
HAMIL,Jamil
HAMIYE,Jamil
HAMIYYEH,Jamil
NAZIM,Abou
NIZAM,Abou
HIGUERA GUERRERO,Ismael
KHAN,Nasir Ali
KHAN,Ali
KHAN,Nafir Ali
KHAN,Nazir Ali
KHAN,Nisan Ali
KHAN,Nisar Ali
NASIR,Ali Khan
NASIR,Khan Ali
MALHERBE DE LEON,Oscar
BECERRA,Martin
BECERRA MIRELES,Martin
MACHERBE,Oscar
MAHLERBE,Oscar
MALARBE,Oscar
MALERHBE DE LEON,Oscar
MALHARBE DE LEON,Oscar
MALHERBE DELEON,Oscar
MALMERBE,Oscar
MELARBE,Oscar
QALHARBE DE LEON,Oscar
MAHERBE,Oscar
MAHLERBE,Polo
MALERBE,Oscar
MALERVA,Oscar
NALHERBE,Oscar
VARGAS,Jorge
RAMON MAGANA,Alcides
ALCIDES MAGANA,Ramon
ALCIDEZ MAGANA,Ramon
ALCIDES MAYENA,Ramon
MAGNA ALCIDEDES,Ramon
ALCIDES MAGANE,Ramon
ROMERO,Antonio
GONZALEZ QUIONES,Jorge
MAGANA,Jorge
MAGANA ALCIDES,Ramon
MATA,Alcides
RAMON MAGANA,Alcedis
UNITED SELF-DEFENSE FORCES OF COLOMBIA,
AUTODEFENSAS UNIDAS DE COLOMBIA,
AUC,
ASBAT AL-ANSAR,
SALAFIST GROUP FOR CALL AND COMBAT,
GSPC,
LE GROUPE SALAFISTE POUR LA PREDICATION ET LE COMBAT,
SALAFIST GROUP FOR PREACHING AND COMBAT,
AL-QA'IDA IN THE ISLAMIC MAGHREB,
AQIM,
TANZIM AL-QA'IDA FI BILAD AL-MAGHRIB AL-ISLAMIYA,
LIBYAN ISLAMIC FIGHTING GROUP,
AL-ITIHAAD AL-ISLAMIYA,
AIAI,
ISLAMIC ARMY OF ADEN,
AL-ADL,Sayf
AL-'ADIL,Saif
Non-Latin: الولید,Non-Latin: محفوظ ولد
AL-SHANQITI,Khalid
AL-WALID,Mafouz Walad
ABU HAFS THE MAURITANIAN,
HUSAYN,Zayn al-Abidin Muhammad
HUSAIN,Zain Al-Abidin Muhammad
ABU ZUBAIDA,
HUSSEIN,Zayn al-Abidin Muhammad
ABU ZUBEIDAH,Zeinulabideen Muhammed Husein
ABU ZUBAYDAH,
AL-IRAQI,Abd al-Hadi
AL-IRAQI,Abdal al-Hadi
SHIHATA,Thirwat Salah
ABDALLAH,Tarwat Salah
THIRWAT,Shahata
THIRWAT,Salah Shihata
AHMAD,Tariq Anwar al-Sayyid
FATHI,Amr Al-Fatih
FARAG,Hamdi Ahmad
MAKHTAB AL-KHIDAMAT/AL KIFAH,
WAFA HUMANITARIAN ORGANIZATION,
AL WAFA,
AL WAFA ORGANIZATION,
WAFA AL-IGATHA AL-ISLAMIA,
AL RASHID TRUST,
AL RASHEED TRUST,
AL-RASHID TRUST,
AL-RASHEED TRUST,
AL AMIN WELFARE TRUST,
AL AMIN TRUST,
AL AMEEN TRUST,
AL-AMEEN TRUST,
AL MADINA TRUST,
AL-MADINA TRUST,
MAYMAR TRUST,
MAIMAR TRUST,
MOMAR TRUST,
MEYMAR TRUST,
MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,
DARKAZANLI COMPANY,
DARKAZANLI EXPORT-IMPORT SONDERPOSTEN,
ABDULLAH,Abdullah Ahmed
ABU MARIAM,
AL-MASRI,Abu Mohamed
SALEH,
ALI,Ahmed Mohammed Hamed
ABDUREHMAN,Ahmed Mohammed
ABU FATIMA,
ABU ISLAM,
ABU KHADIIJAH,
AHMED,Ahmed
AHMED HAMED,
AHMED THE EGYPTIAN,
ALI,Hamed
ALI,Ahmed Mohammed
AL-MASRI,Ahmad
AL-SURIR,Abu Islam
HEMED,Ahmed
SHIEB,Ahmed
SHUAIB,
AL-MUGHASSIL,Ahmad Ibrahim
AL-MUGHASSIL,Ahmed Ibrahim
ABU OMRAN,
AL-NASSER,Abdelkarim Hussein Mohamed
AL-YACOUB,Ibrahim Salih Mohammed
ATWA,Ali
BOUSLIM,Ammar Mansour
SALIM,Hassan Rostom
EL-HOORIE,Ali Saed Bin Ali
AL-HOURI,Ali Saed Bin Ali
EL-HOURI,Ali Saed Bin Ali
FADHIL,Mustafa Mohamed
ELBISHY,Moustafa Ali
MOHAMMED,Mustafa
FAZUL,Mustafa
HUSSEIN,
FADIL,Mustafa Muhamad
AL MASRI,Abd Al Wakil
ANIS,Abu
YUSSRR,Abu
ALI,Hassan
MAN,Nu
KHALID,
JIHAD,Abu
AL-NUBI,Abu
GHAILANI,Ahmed Khalfan
GHILANI,Ahmad Khalafan
AHMED,Ahmed Khalfan
AHMED,Abubakar K.
AHMED,Abubakary K.
AHMED,Abubakar
AHMAD,Abu Bakr
AHMED,A.
KHALFAN,Ahmed
ALI,Ahmed Khalfan
AHMED,Abubakar Khalfan
GHAILANI,Ahmed
AL TANZANI,Ahmad
KHABAR,Abu
BAKR,Abu
GHAILANI,Abubakary Khalfan Ahmed
HUSSEIN,Mahafudh Abubakar Ahmed Abdallah
MOHAMMED,Shariff Omar
"""FOOPIE""",
"""FUPI""",
"""AHMED THE TANZANIAN""",
IZZ-AL-DIN,Hasan
"GARBAYA, AHMED",
SA-ID,
SALWWAN,Samir
MOHAMMED,Fazul Abdullah
FAZUL,Abdallah
FAZUL,Abdalla
FAZUL,Abdallah Mohammed
MOHAMMED,Fazul Abdilahi
ADBALLAH,Fazul
ABDALLA,Fazul
MOHAMMED,Fazul
HAROON,
HARUN,
FAZUL,Haroon
FAZUL,Harun
MUHAMAD,Fadil Abdallah
HAROUN,Fadhil
AL SUDANI,Abu Seif
AISHA,Abu
LUQMAN,Abu
ALI,Fadel Abdallah Mohammed
MOHAMMED,Fouad
MOHAMMED,Khalid Shaikh
YASIN,Abdul Rahman
YASIN,Abdul Rahman Said
YASIN,Aboud
TAHA,Abdul Rahman S.
TAHER,Abdul Rahman S.
AL-HAMATI SWEETS BAKERIES,
JAISH-I-MOHAMMED,
ARMY OF MOHAMMED,
MOHAMMED'S ARMY,
TEHRIK UL-FURQAAN,
JAISH-E-MOHAMMED,
KHUDAMUL ISLAM,
KHUDDAM-UL-ISLAM,
KUDDAM E ISLAMI,
JAM'YAH TA'AWUN AL-ISLAMIA,
SOCIETY OF ISLAMIC COOPERATION,
JAM'IYAT AL TA'AWUN AL ISLAMIYYA,
JIT,
RABITA TRUST,
AGHA,Haji Abdul Manan
SAIYID,Abd Al-Man'am
Non-Latin: الأھدل,Non-Latin: محمد حمدي محمد صادق
AL-HAMATI,Muhammad
AL-MAKKI,Abu Asim
Al-Ahdal,Muhammad Muhummad Abdullah
Al-Ahdal,Mohamed Mohamed Abdullah
AL-HAQ,Amin
AMIN,Muhammad
AH HAQ,Dr. Amin
UL-HAQ,Dr. Amin
HAMDAN,Salim Ahmad Salim
AL-JADAWI,Saqar
AL-JADDAW,Saqr
AL-SHARIF,Sa'd Abdullah Hussein
BIN MARWAN,Bilal
BIN MUHAMMAD,Ayadi Chafiq
AYADI SHAFIQ,Ben Muhammad
AYADI CHAFIK,Ben Muhammad
AIADI,Ben Muhammad
AIADY,Ben Muhammad
DARKAZANLI,Mamoun
HIJAZI,Riad
HIJAZI,Raed M
AL-HAWEN,Abu-Ahmad
AL-MAGHRIBI,Rashid
AL-AMRIKI,Abu-Ahmad
AL-SHAHID,Abu-Ahmad
UTHMAN,Omar Mahmoud
AL-FILISTINI,Abu Qatada
TAKFIRI,Abu Umr
ABU ISMAIL,
ABU UMAR,Abu Omar
UTHMAN,Al-Samman
UMAR,Abu Umar
UTHMAN,Umar
AWEYS,Hassan Dahir
ALI,Sheikh Hassan Dahir Aweys
AWES,Shaykh Hassan Dahir
AL-AQSA ISLAMIC BANK,
AL-AQSA AL-ISLAMI BANK,
BEIT EL-MAL HOLDINGS,
ARAB PALESTINIAN BEIT EL-MAL COMPANY,
BEIT AL MAL HOLDINGS,
BEIT EL MAL AL-PHALASTINI AL-ARABI AL-MUSHIMA AL-AAMA AL-MAHADUDA LTD.,
"PALESTINIAN ARAB BEIT EL MAL CORPORATION, LTD.",
HOLY LAND FOUNDATION FOR RELIEF AND DEVELOPMENT,
OCCUPIED LAND FUND,
UMMAH TAMEER E-NAU,
UMMAH TAMEER I-NAU,
UMMAH TAMIR I-NAU,
UMMAH TAMIR E-NAU,
RECONSTRUCTION OF THE MUSLIM UMMAH,
RECONSTRUCTION OF THE ISLAMIC COMMUNITY,
FOUNDATION FOR CONSTRUCTION,
RECONSTRUCTION FOUNDATION,
NATION BUILDING,
UMMAT TAMIR-I-PAU,
UMMAT TAMIR E-NAU,
UTN,
MAHMOOD,Sultan Bashir-Ud-Din
MAHMOOD,Sultan Bashiruddin
MEKMUD,Sultan Baishiruddin
MEHMOOD,Dr. Bashir Uddin
MAJEED,Abdul
MAJID,Abdul
MAJEED,Chaudhry Abdul
TUFAIL,Mohammed
TUFAIL,Sheik Mohammed
TUFAIL,S.M.
LASHKAR E-TAYYIBA,
LASHKAR E-TOIBA,
LASHKAR-I-TAIBA,
ARMY OF THE RIGHTEOUS,
ARMY OF THE PURE,
ARMY OF THE PURE AND RIGHTEOUS,
AL MANSOOREEN,
AL MANSOORIAN,
PAASBAN-E-KASHMIR,
